Periode;Zinsperiode;Anfangsdatum;Enddatum;Zinssatz
200202;H2/2002;01.07.2002;31.12.2002;2,47
200301;H1/2003;01.01.2003;30.06.2003;1,97
200302;H2/2003;01.07.2003;31.12.2003;1,22
200401;H1/2004;01.01.2004;30.06.2004;1,14
200402;H2/2004;01.07.2004;31.12.2004;1,13
200501;H1/2005;01.01.2005;30.06.2005;1,21
200502;H2/2005;01.07.2005;31.12.2005;1,17
200601;H1/2006;01.01.2006;30.06.2006;1,37
200602;H2/2006;01.07.2006;31.12.2006;1,95
200701;H1/2007;01.01.2007;30.06.2007;2,70
200702;H2/2007;01.07.2007;31.12.2007;3,19
200801;H1/2008;01.01.2008;30.06.2008;3,32
200802;H2/2008;01.07.2008;31.12.2008;3,19
200901;H1/2009;01.01.2009;30.06.2009;1,62
200902;H2/2009;01.07.2009;31.12.2009;0,12
201001;H1/2010;01.01.2010;30.06.2010;0,12
201002;H2/2010;01.07.2010;31.12.2010;0,12
201101;H1/2011;01.01.2011;30.06.2011;0,12
201102;H2/2011;01.07.2011;31.12.2011;0,37
201201;H1/2012;01.01.2012;30.06.2012;0,12
201202;H2/2012;01.07.2012;31.12.2012;0,12
201301;H1/2013;01.01.2013;30.06.2013;-0,13
201302;H2/2013;01.07.2013;31.12.2013;-0,38
201401;H1/2014;01.01.2014;30.06.2014;-0,63
201402;H2/2014;01.07.2014;31.12.2014;-0,73
201501;H1/2015;01.01.2015;30.06.2015;-0,83
201502;H2/2015;01.07.2015;31.12.2015;-0,83
201601;H1/2016;01.01.2016;30.06.2016;-0,83
201602;H2/2016;01.07.2016;31.12.2016;-0,88
201701;H1/2017;01.01.2017;30.06.2017;-0,88
201702;H2/2017;01.07.2017;31.12.2017;-0,88
201801;H1/2018;01.01.2018;30.06.2018;-0,88
201802;H2/2018;01.07.2018;31.12.2018;-0,88
201901;H1/2019;01.01.2019;30.06.2019;-0,88
201902;H2/2019;01.07.2019;31.12.2019;-0,88
202001;H1/2020;01.01.2020;30.06.2020;-0,88
202002;H2/2020;01.07.2020;31.12.2020;-0,88
202101;H1/2021;01.01.2021;30.06.2021;-0,88
202102;H2/2021;01.07.2021;31.12.2021;-0,88
202201;H1/2022;01.01.2022;30.06.2022;-0,88
202202;H2/2022;01.07.2022;31.12.2022;-0,88
202301;H1/2023;01.01.2023;30.06.2023;1,62
202302;H2/2023;01.07.2023;31.12.2023;3,12
202401;H1/2024;01.01.2024;30.06.2024;3,62
202402;H2/2024;01.07.2024;31.12.2024;3,37
202501;H1/2025;01.01.2025;30.06.2025;2,27
202502;H2/2025;01.07.2025;31.12.2025;1,27
